code,year,child_mortality
ARG,1827,402.2
ARG,1828,402.2
ARG,1829,402.2
ARG,1830,402.2
ARG,1831,402.2
ARG,1832,402.2
ARG,1833,402.2
ARG,1834,402.2
ARG,1835,402.2
ARG,1836,402.2
ARG,1837,402.2
ARG,1838,402.2
ARG,1839,402.2
ARG,1840,402.2
ARG,1841,402.2
ARG,1842,402.2
ARG,1843,402.2
ARG,1844,402.2
ARG,1845,402.2
ARG,1846,402.2
ARG,1847,402.2
ARG,1848,402.2
ARG,1849,402.2
ARG,1850,402.2
ARG,1851,402.2
ARG,1852,402.2
ARG,1853,402.2
ARG,1854,402.2
ARG,1855,402.2
ARG,1856,402.2
ARG,1857,402.2
ARG,1858,402.2
ARG,1859,402.2
ARG,1860,402.2
ARG,1861,402.2
ARG,1862,402.2
ARG,1863,402.2
ARG,1864,402.2
ARG,1865,402.2
ARG,1866,402.2
ARG,1867,402.2
ARG,1868,402.2
ARG,1869,402.2
ARG,1870,402.2
ARG,1871,402.2
ARG,1872,402.2
ARG,1873,402.2
ARG,1874,402.2
ARG,1875,402.2
ARG,1876,402.2
ARG,1877,402.2
ARG,1878,403.4
ARG,1879,403.4
ARG,1880,403.4
ARG,1881,404.7
ARG,1882,406
ARG,1883,407.2
ARG,1884,408.5
ARG,1885,409.8
ARG,1886,406
ARG,1887,402.2
ARG,1888,399.7
ARG,1889,395.9
ARG,1890,392.2
ARG,1891,393.5
ARG,1892,395.9
ARG,1893,397.2
ARG,1894,399.7
ARG,1895,400.9
ARG,1896,392.1
ARG,1897,383.5
ARG,1898,374.9
ARG,1899,366.3
ARG,1900,357.9
ARG,1901,350.6
ARG,1902,337.4
ARG,1903,324.7
ARG,1904,312.5
ARG,1905,300.7
ARG,1906,289.4
ARG,1907,278.5
ARG,1908,268
ARG,1909,257.9
ARG,1910,248.2
ARG,1911,238.8
ARG,1912,229.6
ARG,1913,205.3
ARG,1914,196
ARG,1915,194.1
ARG,1916,194.1
ARG,1917,201.6
ARG,1918,220.3
ARG,1919,212.8
ARG,1920,199.7
ARG,1921,179.1
ARG,1922,171.6
ARG,1923,171.6
ARG,1924,179.1
ARG,1925,188.4
ARG,1926,184.7
ARG,1927,197.8
ARG,1928,173.4
ARG,1929,162.2
ARG,1930,149.3
ARG,1931,149.3
ARG,1932,140.2
ARG,1933,125.9
ARG,1934,143.8
ARG,1935,160.3
ARG,1936,143.8
ARG,1937,140.1
ARG,1938,154.8
ARG,1939,131.2
ARG,1940,131.1
ARG,1941,122.3
ARG,1942,124.1
ARG,1943,113.7
ARG,1944,115.4
ARG,1945,117.1
ARG,1946,103.5
ARG,1947,110.2
ARG,1948,95.18
ARG,1949,91.93
ARG,1950,93.53
ARG,1951,91.92
ARG,1952,88.72
ARG,1953,85.66
ARG,1954,81.15
ARG,1955,84.17
ARG,1956,76.5
ARG,1957,93.51
ARG,1958,82.65
ARG,1959,77.78
ARG,1960,73.2
ARG,1961,68.9
ARG,1962,64.84
ARG,1963,61.02
ARG,1964,57.43
ARG,1965,57.43
ARG,1966,58.63
ARG,1967,58.52
ARG,1968,58.32
ARG,1969,73.2
ARG,1970,72.4
ARG,1971,71.5
ARG,1972,70.4
ARG,1973,68.8
ARG,1974,66.6
ARG,1975,63.8
ARG,1976,60.2
ARG,1977,55.9
ARG,1978,51.4
ARG,1979,47
